Acton Lake	1070657		604 acres (244 ha)	Butler and Preble
Alum Creek Lake			3,387 acres (1,371 ha)	Delaware
Atwood Lake	1070667		1,540 acres (620 ha)	Carroll and Tuscarawas
Barbertown Wolf Creek Reservoir			196 acres (79 ha)	Summit
Beach City Lake			420 acres (170 ha)	Tuscarawas
Beaver Creek Reservoir			110 acres (45 ha)	Seneca
Beaver Lake			103 acres (42 ha)	Columbiana
Belmont Lake			117 acres (47 ha)	Belmont
Berlin Reservoir			3,590 acres (1,450 ha)	Portage
Big Island Wildlife Area Reservoir			382 acres (155 ha)	Marion
Bresler Reservoir			582 acres (236 ha)	Allen
Brown Lake			2,120 acres (860 ha)	Clark
Buckeye Lake			3,136 acres (1,269 ha)	Fairfield, Licking, Perry
Bucyrus Reservoir #4			150 acres (61 ha)	Crawford
Burr Oak Lake			664 acres (269 ha)	Athens and Morgan
Caesar Creek Reservoir			2,830 acres (1,150 ha)	Clinton and Warren
Charles Mill Lake	1039002		1,350 acres (550 ha)	Ashland and Richland
Cinnamon Lake			131 acres (53 ha)	Ashland
Clear Fork Reservoir	1070716		1,010 acres (410 ha)	Morrow and Richland
Clendening Lake	1085458	40°16′7″N 81°16′36″W	1,800 acres (730 ha)	Harrison
Cowan Lake	1061001	39°23′19″N 83°55′29″W	688 acres (278 ha)	Clinton
Deer Creek Lake			1,277 acres (517 ha)	Pickaway
Deer Creek Reservoir			313 acres (127 ha)	Stark
Defiance Power Dam Reservoir			679 acres (275 ha)	Defiance
Delaware Lake			1,300 acres (530 ha)	Delaware
Dillon Lake	1037280		1,325 acres (536 ha)	Muskingum
Dow Lake			161 acres (65 ha)	Athens
East Branch Reservoir			416 acres (168 ha)	Geauga
East Reservoir			201 acres (81 ha)	Summit
Eastwood Lake			170 acres (69 ha)	Montgomery
Evans Lake	1040260		566 acres (229 ha)	Mahoning
Ferguson Reservoir			305 acres (123 ha)	Allen
Findlay Reservoir #1			186 acres (75 ha)	Hancock
Findlay Reservoir #2			650 acres (260 ha)	Hancock
Forked Run Lake			104 acres (42 ha)	Meigs
Grand Lake St. Marys	1083992	40°31′52″N 84°29′59″W	12,700 acres (5,100 ha)	Auglaize and Mercer
Grant Lake			181 acres (73 ha)	Brown
Griggs Reservoir			385 acres (156 ha)	Franklin
Guilford Lake			396 acres (160 ha)	Columbiana
Hammertown Lake			186 acres (75 ha)	Jackson
Hargus Lake			130 acres (53 ha)	Pickaway
Harsha Lake			2,160 acres (870 ha)	Clermont
Highlandtown Lake			170 acres (69 ha)	Columbiana
Hoover Reservoir		40°06′29″N 82°52′54″W	3,000 acres (1,200 ha)	Franklin
Independence Dam Reservoir			605 acres (245 ha)	Defiance
Indian Lake	1041943	40°28′03″N 83°52′31″W	5,104 acres (2,066 ha)	Logan
Jackson Lake			243 acres (98 ha)	Jackson
Killdeer Reservoir			253 acres (102 ha)	Wyandot
Killdeer Wildlife Pond #7			373 acres (151 ha)	Wyandot
Killdeer Wildlife Pond #8			225 acres (91 ha)	Wyandot
Killdeer Wildlife Pond #9			225 acres (91 ha)	Wyandot
Kirwin Reservoir			2,650 acres (1,070 ha)	Portage
Kiser Lake			380 acres (150 ha)	Champaign
Knox Lake			474 acres (192 ha)	Knox
LaDue Reservoir	1084011		1,500 acres (610 ha)	Geauga
Lake Hamilton			104 acres (42 ha)	Mahoning
Lake Hodgson			190 acres (77 ha)	Portage
Lake Hope			127 acres (51 ha)	Vinton
Lake LaComte			128 acres (52 ha)	Hancock
Lake La Su An			134 acres (54 ha)	Williams
Lake Logan	1078073	39°32′20″N 82°28′02″W	354 acres (143 ha)	Hocking
Lake Loramie			785 acres (318 ha)	Shelby
Lake Medina			109 acres (44 ha)	Medina
Lake Milton			1,685 acres (682 ha)	Mahoning
Lake Mohawk	1061156	40°40′26″N 81°11′29″W	507 acres (205 ha)	Carroll
Lake Rockwell			539 acres (218 ha)	Portage
Lake Rupert			325 acres (132 ha)	Vinton
Lake Snowden			131 acres (53 ha)	Athens
Lake Vesuvius			105 acres (42 ha)	Lawrence
Lake White			337 acres (136 ha)	Pike
Lake Waynoka	1077889	38°56′15″N 83°46′56″W	300 acres (120 ha)	Brown
Leesville Lake			1,000 acres (400 ha)	Carroll
Long Lake			180 acres (73 ha)	Summit
Lost Creek Reservoir			121 acres (49 ha)	Allen
Madison Lake			106 acres (43 ha)	Madison
McKelvey Lake			133 acres (54 ha)	Mahoning
Meander Creek Reservoir	1070843		2,010 acres (810 ha)	Mahoning and Trumbull
Metzger Reservoir			157 acres (64 ha)	Allen
Mogadore Reservoir			900 acres (360 ha)	Portage
Mosquito Creek Lake	1043509	41°22′16″N 80°45′18″W	7,850 acres (3,180 ha)	Trumbull
Mount Orab #1			181 acres (73 ha)	Brown
New London Reservoir			221 acres (89 ha)	Huron
Newport Lake			105 acres (42 ha)	Mahoning
Nimisila Reservoir			825 acres (334 ha)	Summit
North Branch Kokosing Lake			154 acres (62 ha)	Knox
North Reservoir			160 acres (65 ha)	Summit
Ohio Power Recreation Lakes			2,000 acres (810 ha)	Morgan
O'Shaughnessy Reservoir		40°09′14″N 83°07′33″W	920 acres (370 ha)	Delaware
Paint Creek Lake			1,190 acres (480 ha)	Highland and Ross
Piedmont Lake			2,310 acres (930 ha)	Harrison
Pine Lake			474 acres (192 ha)	Mahoning
Pleasant Hill Lake			850 acres (340 ha)	Ashland
Pymatuning Reservoir	1044806		3,580 acres (1,450 ha)	Ashtabula (OH) and Crawford (PA)
Resthaven Wildlife Area Pond			200 acres (81 ha)	Erie
Roaming Rock Lake			464 acres (188 ha)	Ashtabula
Rocky Fork Lake		39°11′11″N 83°28′21″W	2,080 acres (840 ha)	Highland
Ross Lake			140 acres (57 ha)	Ross
Rush Creek Lake #6-A			300 acres (120 ha)	Fairfield
Salt Fork Reservoir			2,952 acres (1,195 ha)	Guernsey
Senecaville Lake	1058011		3,550 acres (1,440 ha)	Guernsey and Noble
Snider Ditch Lake			245 acres (99 ha)	Trumbull
Stonelick Reservoir			160 acres (65 ha)	Clermont
Tappan Lake	1046947	40°21′30″N 81°13′34″W	2,350 acres (950 ha)	Harrison
Tycoon Lake			204 acres (83 ha)	Gallia
Veterans Memorial Reservoir			165 acres (67 ha)	Hancock
Veto Lake			160 acres (65 ha)	Washington
Walburn Reservoir			670 acres (270 ha)	Stark
Wellinton Upground Reservoir			160 acres (65 ha)	Lorain
West Reservoir			104 acres (42 ha)	Summit
Willard City Reservoir			200 acres (81 ha)	Huron
Wills Creek Lake			90 acres (36 ha)	Coshocton
Winton Woods Lake			183 acres (74 ha)	Hamilton
Wolf Run Reservoir			209 acres (85 ha)	Noble
