Alder Pond			15 acres (6.1 ha)	Tallmadge	Summit
Aurora Pond			345 acres (140 ha)	Aurora	Portage
Baker Lake	1037586		8 acres (3.2 ha)	Goshen	Champaign
Bass Lake	1060847		128 acres (52 ha)	Munson	Geauga
Bath Pond	1037677		13 acres (5.3 ha)	Bath	Summit
Big Lake	1060872		15 acres (6.1 ha)	Milford	Defiance
Black Lake	1038077		27 acres (11 ha)	Miami	Logan
Black Pond			7 acres (2.8 ha)	Copley	Summit
Braden Lake			14 acres (5.7 ha)	Union	Logan
Brady Lake	1038256		70 acres (28 ha)	Franklin	Portage
Breed Loves Pond			7 acres (2.8 ha)	Salem	Champaign
Brown Lake	1060898		6 acres (2.4 ha)	Clinton	Wayne
Brush Lake	1038417		15 acres (6.1 ha)	Rush	Champaign
Camden Reservoir			9 acres (3.6 ha)	Camden	Lorain
Chippewa Lake			324 acres (131 ha)	Westfield	Medina
Collins Pond			6 acres (2.4 ha)	Ravenna	Portage
Congress Lake	1070720		200 acres (81 ha)	Lake	Stark
Crystal Lake	1039516		20 acres (8.1 ha)	Bethel	Clark
Crystal Lake	1039517		25 acres (10 ha)	Rootstown	Portage
Crystal Lake	1039518		25 acres (10 ha)	Silver Lake	Summit
Davenport Pond	1039589		10 acres (4.0 ha)	Pickaway	Pickaway
Dohner Lake	1070733		17 acres (6.9 ha)	Chippewa	Wayne
Doke Lake			6 acres (2.4 ha)	Union	Logan
East Twin Lake	1058271		67 acres (27 ha)	Franklin	Portage
Ensley-Genert Pond			6 acres (2.4 ha)	Bloom	Seneca
Ferry Lake			8 acres (3.2 ha)	Franklin	Portage
Fishel Lake			19 acres (7.7 ha)	Valley	Guernsey
Fox Lake			40 acres (16 ha)	Baughman	Wayne
Fudger Lake	1040716		6 acres (2.4 ha)	Goshen	Champaign
Geauga Lake	1040805		50 acres (20 ha)	Bainbridge	Geauga
Grape Lake	1041056		14 acres (5.7 ha)	Coventry	Summit
Haddix Lake			7 acres (2.8 ha)	Pleasant	Clark
Hitler Pond	1041627		6 acres (2.4 ha)	Pickaway	Pickaway
Kiwanis Lake	1042310		8 acres (3.2 ha)	Newbury	Geauga
Ladd Lake	1042365		10 acres (4.0 ha)	Milford	Defiance
Lake Anna	1037431		12 acres (4.9 ha)	Barberton	Summit
Lake Aquilla	1060826		27 acres (11 ha)	Claridon	Geauga
Lake George	1040821		12 acres (4.9 ha)	Franklin	Portage
Lake Hodgson	1043717		190 acres (77 ha)	Ravenna	Portage
Lake Kelso	1061137		26 acres (11 ha)	Burton	Geauga
Lake Nesmith	1061168		80 acres (32 ha)	Coventry	Summit
Lake O'Pine	1044017		16 acres (6.5 ha)	Lake	Stark
Lake Pippen	1058265		143 acres (58 ha)	Franklin	Portage
Lemon Lake	1066066		5 acres (2.0 ha)	Union	Logan
Little Fox Lake			7 acres (2.8 ha)	Baughman	Wayne
Little Lake	1042670		10 acres (4.0 ha)	Milford	Defiance
Little Punderson Lake	1070819		26 acres (11 ha)	Newbury	Geauga
Long Lake			42 acres (17 ha)	Washington	Holmes
Luna Lake	1042835		61 acres (25 ha)	Franklin	Summit
McMillen Lake	1043138		5 acres (2.0 ha)	Union	Logan
McQuery Lake			6 acres (2.4 ha)	Harrison	Champaign
Meadowbrook Lake			45 acres (18 ha)	Danbury	Ottawa
